ID,Name,Description,Type
T1555.003,Credentials from Web Browsers,"adversaries may acquire credentials from web browsers by reading files specific to the target browser. web browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future. web browsers typically store the credentials in an encrypted format within a credential store; however, methods exist to extract plaintext credentials from web browsers.",Technique
T1555.004,Windows Credential Manager,"adversaries may acquire credentials from the windows credential manager. the credential manager stores credentials for signing into websites, applications, and/or devices that request authentication through ntlm or kerberos in credential lockers (previously known as windows vaults).",Technique
T1555.005,Password Managers,"adversaries may acquire user credentials from third-party password managers. password managers are applications designed to store user credentials, normally in an encrypted database. credentials are typically accessible after a user provides a master password that unlocks the database. after the database is unlocked, these credentials may be copied to memory. these databases can be stored as files on disk.",Technique
T1555.006,Cloud Secrets Management Stores,"adversaries may acquire credentials from cloud-native secret management solutions such as aws secrets manager, gcp secret manager, azure key vault, and terraform vault.",Technique
T1485,Data Destruction,"adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remote drives. common operating system file deletion commands such as del and rm often only remove pointers to files without wiping the contents of the files themselves, making the files recoverable by proper forensic methodology. this behavior is distinct from disk content wipe and disk structure wipe because individual files are destroyed rather than sections of a storage disk or the disk's logical structure.",Technique
T1485.001,Lifecycle-Triggered Deletion,adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects stored within.,Technique
T1132,Data Encoding,"adversaries may encode data to make the content of command and control traffic more difficult to detect. command and control (c2) information can be encoded using a standard data encoding system. use of data encoding may adhere to existing protocol specifications and includes use of ascii, unicode, base64, mime, or other binary-to-text and character encoding systems. some data encoding systems may also result in data compression, such as gzip.",Technique
T1132.001,Standard Encoding,"adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. command and control (c2) information can be encoded using a standard data encoding system that adheres to existing protocol specifications. common data encoding schemes include ascii, unicode, hexadecimal, base64, and mime. some data encoding systems may also result in data compression, such as gzip.",Technique
T1132.002,Non-Standard Encoding,"adversaries may encode data with a non-standard data encoding system to make the content of command and control traffic more difficult to detect. command and control (c2) information can be encoded using a non-standard data encoding system that diverges from existing protocol specifications. non-standard data encoding schemes may be based on or related to standard data encoding schemes, such as a modified base64 encoding for the message body of an http request.",Technique
T1486,Data Encrypted for Impact,adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. they can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key. this may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key (ransomware) or to render data permanently inaccessible in cases where the key is not saved or transmitted.,Technique
T1530,Data from Cloud Storage,adversaries may access data from cloud storage.,Technique
T1602,Data from Configuration Repository,"adversaries may collect data related to managed devices from configuration repositories. configuration repositories are used by management systems in order to configure, manage, and control data on remote systems. configuration repositories may also facilitate remote access and administration of devices.",Technique
T1602.001,SNMP (MIB Dump),adversaries may target the management information base (mib) to collect and/or mine valuable information in a network managed using simple network management protocol (snmp).,Technique
T1602.002,Network Device Configuration Dump,"adversaries may access network configuration files to collect sensitive data about the device and the network. the network configuration is a file containing parameters that determine the operation of the device. the device typically stores an in-memory copy of the configuration while operating, and a separate configuration on non-volatile storage to load after device reset. adversaries can inspect the configuration files to reveal information about the target network and its layout, the network device and its software, or identifying legitimate accounts and credentials for later use.",Technique
T1213,Data from Information Repositories,"adversaries may leverage information repositories to mine valuable information. information repositories are tools that allow for storage of information, typically to facilitate collaboration or information sharing between users, and can store a wide variety of data that may aid adversaries in further objectives, such as credential access, lateral movement, or defense evasion, or direct access to the target information. adversaries may also abuse external sharing features to share sensitive documents with recipients outside of the organization (i.e., transfer data to cloud account).",Technique
T1213.001,Confluence,"adversaries may leverage confluence repositories to mine valuable information. often found in development environments alongside atlassian jira, confluence is generally used to store development-related documentation, however, in general may contain more diverse categories of useful information, such as:",Technique
T1213.002,Sharepoint,"adversaries may leverage the sharepoint repository as a source to mine valuable information. sharepoint will often contain useful information for an adversary to learn about the structure and functionality of the internal network and systems. for example, the following is a list of example information that may hold potential value to an adversary and may also be found on sharepoint:",Technique
T1213.003,Code Repositories,"adversaries may leverage code repositories to collect valuable information. code repositories are tools/services that store source code and automate software builds. they may be hosted internally or privately on third party sites such as github, gitlab, sourceforge, and bitbucket. users typically interact with code repositories through a web application or command-line utilities such as git.",Technique
T1213.004,Customer Relationship Management Software,"adversaries may leverage customer relationship management (crm) software to mine valuable information. crm software is used to assist organizations in tracking and managing customer interactions, as well as storing customer data.",Technique
T1213.005,Messaging Applications,"adversaries may leverage chat and messaging applications, such as microsoft teams, google chat, and slack, to mine valuable information.",Technique
T1005,Data from Local System,"adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to exfiltration.",Technique
T1039,Data from Network Shared Drive,"adversaries may search network shares on computers they have compromised to find files of interest. sensitive data can be collected from remote systems via shared network drives (host shared directory, network file server, etc.) that are accessible from the current system prior to exfiltration. interactive command shells may be in use, and common functionality within cmd may be used to gather information.",Technique
T1025,Data from Removable Media,"adversaries may search connected removable media on computers they have compromised to find files of interest. sensitive data can be collected from any removable media (optical disk drive, usb memory, etc.) connected to the compromised system prior to exfiltration. interactive command shells may be in use, and common functionality within cmd may be used to gather information.",Technique
T1565,Data Manipulation,"adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data. by manipulating data, adversaries may attempt to affect a business process, organizational understanding, or decision making.",Technique
T1565.001,Stored Data Manipulation,"adversaries may insert, delete, or manipulate data at rest in order to influence external outcomes or hide activity, thus threatening the integrity of the data. by manipulating stored data, adversaries may attempt to affect a business process, organizational understanding, and decision making.",Technique
T1565.002,Transmitted Data Manipulation,"adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity, thus threatening the integrity of the data. by manipulating transmitted data, adversaries may attempt to affect a business process, organizational understanding, and decision making.",Technique
T1565.003,Runtime Data Manipulation,"adversaries may modify systems in order to manipulate the data as it is accessed and displayed to an end user, thus threatening the integrity of the data. by manipulating runtime data, adversaries may attempt to affect a business process, organizational understanding, and decision making.",Technique
T1001,Data Obfuscation,"adversaries may obfuscate command and control traffic to make it more difficult to detect. command and control (c2) communications are hidden (but not necessarily encrypted) in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen. this encompasses many methods, such as adding junk data to protocol traffic, using steganography, or impersonating legitimate protocols.",Technique
T1001.001,Junk Data,"adversaries may add junk data to protocols used for command and control to make detection more difficult. by adding random or meaningless data to the protocols used for command and control, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic. examples may include appending/prepending data with junk characters or writing junk characters between significant characters.",Technique
T1001.002,Steganography,"adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult. steganographic techniques can be used to hide data in digital messages that are transferred between systems. this hidden information can be used for command and control of compromised systems. in some cases, the passing of files embedded using steganography, such as image or document files, can be used for command and control.",Technique
T1001.003,Protocol or Service Impersonation,"adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. by impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.",Technique
T1074,Data Staged,"adversaries may stage collected data in a central location or directory prior to exfiltration. data may be kept in separate files or combined into one file through techniques such as archive collected data. interactive command shells may be used, and common functionality within cmd and bash may be used to copy data into a staging location.",Technique
T1074.001,Local Data Staging,"adversaries may stage collected data in a central location or directory on the local system prior to exfiltration. data may be kept in separate files or combined into one file through techniques such as archive collected data. interactive command shells may be used, and common functionality within cmd and bash may be used to copy data into a staging location.",Technique
T1074.002,Remote Data Staging,"adversaries may stage data collected from multiple systems in a central location or directory on one system prior to exfiltration. data may be kept in separate files or combined into one file through techniques such as archive collected data. interactive command shells may be used, and common functionality within cmd and bash may be used to copy data into a staging location.",Technique
T1030,Data Transfer Size Limits,an adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. this approach may be used to avoid triggering network data transfer threshold alerts.,Technique
T1622,Debugger Evasion,adversaries may employ various means to detect and avoid debuggers. debuggers are typically used by defenders to trace and/or analyze the execution of potential malware payloads.,Technique
T1491,Defacement,"adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content. reasons for defacement include delivering messaging, intimidation, or claiming (possibly false) credit for an intrusion. disturbing or offensive images may be used as a part of defacement in order to cause user discomfort, or to pressure compliance with accompanying messages.",Technique
T1491.001,Internal Defacement,"an adversary may deface systems internal to an organization in an attempt to intimidate or mislead users, thus discrediting the integrity of the systems. this may take the form of modifications to internal websites, or directly to user systems with the replacement of the desktop wallpaper. disturbing or offensive images may be used as a part of internal defacement in order to cause user discomfort, or to pressure compliance with accompanying messages. since internally defacing systems exposes an adversary's presence, it often takes place after other intrusion goals have been accomplished.",Technique
T1491.002,External Defacement,"an adversary may deface systems external to an organization in an attempt to deliver messaging, intimidate, or otherwise mislead an organization or users. external defacement may ultimately cause users to distrust the systems and to question/discredit the system’s integrity. externally-facing websites are a common victim of defacement; often targeted by adversary and hacktivist groups in order to push a political message or spread propaganda. external defacement may be used as a catalyst to trigger events, or as a response to actions taken by an organization or government. similarly, website defacement may also be used as setup, or a precursor, for future attacks such as drive-by compromise.",Technique
T1140,Deobfuscate/Decode Files or Information,adversaries may use obfuscated files or information to hide artifacts of an intrusion from analysis. they may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it. methods for doing that include built-in functionality of malware or by using utilities present on the system.,Technique
T1610,Deploy Container,"adversaries may deploy a container into an environment to facilitate execution or evade defenses. in some cases, adversaries may deploy a new container to execute processes associated with a particular image or deployment, such as processes that execute or download malware. in others, an adversary may deploy a new container configured without network rules, user limitations, etc. to bypass existing defenses within the environment. in kubernetes environments, an adversary may attempt to deploy a privileged or vulnerable container into a specific node in order to escape to host and access other containers running on the node.",Technique
T1587,Develop Capabilities,"adversaries may build capabilities that can be used during targeting. rather than purchasing, freely downloading, or stealing capabilities, adversaries may develop their own capabilities in-house. this is the process of identifying development requirements and building solutions such as malware, exploits, and self-signed certificates. adversaries may develop capabilities to support their operations throughout numerous phases of the adversary lifecycle.",Technique
T1587.001,Malware,"adversaries may develop malware and malware components that can be used during targeting. building malicious software can include the development of payloads, droppers, post-compromise tools, backdoors (including backdoored images), packers, c2 protocols, and the creation of infected removable media. adversaries may develop malware to support their operations, creating a means for maintaining control of remote machines, evading defenses, and executing post-compromise behaviors.",Technique
T1587.002,Code Signing Certificates,adversaries may create self-signed code signing certificates that can be used during targeting. code signing is the process of digitally signing executables and scripts to confirm the software author and guarantee that the code has not been altered or corrupted. code signing provides a level of authenticity for a program from the developer and a guarantee that the program has not been tampered with. users and/or security tools may trust a signed piece of code more than an unsigned piece of code even if they don't know who issued the certificate or who the author is.,Technique
T1587.003,Digital Certificates,"adversaries may create self-signed ssl/tls certificates that can be used during targeting. ssl/tls certificates are designed to instill trust. they include information about the key, information about its owner's identity, and the digital signature of an entity that has verified the certificate's contents are correct. if the signature is valid, and the person examining the certificate trusts the signer, then they know they can use that key to communicate with its owner. in the case of self-signing, digital certificates will lack the element of trust associated with the signature of a third-party certificate authority (ca).",Technique
T1587.004,Exploits,"adversaries may develop exploits that can be used during targeting. an exploit takes advantage of a bug or vulnerability in order to cause unintended or unanticipated behavior to occur on computer hardware or software. rather than finding/modifying exploits from online or purchasing them from exploit vendors, an adversary may develop their own exploits. adversaries may use information acquired via vulnerabilities to focus exploit development efforts. as part of the exploit development process, adversaries may uncover exploitable vulnerabilities through methods such as fuzzing and patch analysis.",Technique
T1652,Device Driver Discovery,"adversaries may attempt to enumerate local device drivers on a victim host. information about device drivers may highlight various insights that shape follow-on behaviors, such as the function/purpose of the host, present security tools (i.e. security software discovery) or other defenses (e.g., virtualization/sandbox evasion), as well as potential exploitable vulnerabilities (e.g., exploitation for privilege escalation).",Technique
T1006,Direct Volume Access,adversaries may directly access a volume to bypass file access controls and file system monitoring. windows allows programs to have direct access to logical volumes. programs with direct access may read and write files directly from the drive by analyzing file system data structures. this technique may bypass windows file access controls as well as file system monitoring tools.,Technique
T1561,Disk Wipe,"adversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources. with direct write access to a disk, adversaries may attempt to overwrite portions of disk data. adversaries may opt to wipe arbitrary portions of disk data and/or wipe disk structures like the master boot record (mbr). a complete wipe of all disk sectors may be attempted.",Technique
T1561.001,Disk Content Wipe,adversaries may erase the contents of storage devices on specific systems or in large numbers in a network to interrupt availability to system and network resources.,Technique
T1561.002,Disk Structure Wipe,adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system; targeting specific critical systems or in large numbers in a network to interrupt availability to system and network resources.,Technique
T1484,Domain or Tenant Policy Modification,"adversaries may modify the configuration settings of a domain or identity tenant to evade defenses and/or escalate privileges in centrally managed environments. such services provide a centralized means of managing identity resources such as devices and accounts, and often include configuration settings that may apply between domains or tenants such as trust relationships, identity syncing, or identity federation.",Technique
T1484.001,Group Policy Modification,"adversaries may modify group policy objects (gpos) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain. group policy allows for centralized management of user and computer settings in active directory (ad). gpos are containers for group policy settings made up of files stored within a predictable network path \<domain>\sysvol\<domain>\policies\.",Technique
T1484.002,Trust Modification,"adversaries may add new domain trusts, modify the properties of existing domain trusts, or otherwise change the configuration of trust relationships between domains and tenants to evade defenses and/or elevate privileges. trust details, such as whether or not user identities are federated, allow authentication and authorization properties to apply between domains or tenants for the purpose of accessing shared resources. these trust objects may include accounts, credentials, and other authentication material applied to servers, tokens, and domains.",Technique
T1482,Domain Trust Discovery,"adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in windows multi-domain/forest environments. domain trusts provide a mechanism for a domain to allow access to resources based on the authentication procedures of another domain. domain trusts allow the users of the trusted domain to access resources in the trusting domain. the information discovered may help the adversary conduct sid-history injection, pass the ticket, and kerberoasting. domain trusts can be enumerated using the dsenumeratedomaintrusts() win32 api call, .net methods, and ldap. the windows utility nltest is known to be used by adversaries to enumerate domain trusts.",Technique
T1189,Drive-by Compromise,"adversaries may gain access to a system through a user visiting a website over the normal course of browsing. with this technique, the user's web browser is typically targeted for exploitation, but adversaries may also use compromised websites for non-exploitation behavior such as acquiring application access token.",Technique
T1568,Dynamic Resolution,"adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations. this may be achieved by using malware that shares a common algorithm with the infrastructure the adversary uses to receive the malware's communications. these calculations can be used to dynamically adjust parameters such as the domain name, ip address, or port number the malware uses for command and control.",Technique
T1568.001,Fast Flux DNS,"adversaries may use fast flux dns to hide a command and control channel behind an array of rapidly changing ip addresses linked to a single domain resolution. this technique uses a fully qualified domain name, with multiple ip addresses assigned to it which are swapped with high frequency, using a combination of round robin ip addressing and short time-to-live (ttl) for a dns resource record.",Technique
T1568.002,Domain Generation Algorithms,"adversaries may make use of domain generation algorithms (dgas) to dynamically identify a destination domain for command and control traffic rather than relying on a list of static ip addresses or domains. this has the advantage of making it much harder for defenders to block, track, or take over the command and control channel, as there potentially could be thousands of domains that malware can check for instructions.",Technique
T1568.003,DNS Calculation,"adversaries may perform calculations on addresses returned in dns results to determine which port and ip address to use for command and control, rather than relying on a predetermined port number or the actual returned ip address. a ip and/or port number calculation can be used to bypass egress filtering on a c2 channel.",Technique
T1114,Email Collection,"adversaries may target user email to collect sensitive information. emails may contain sensitive data, including trade secrets or personal information, that can prove valuable to adversaries. emails may also contain details of ongoing incident response operations, which may allow adversaries to adjust their techniques in order to maintain persistence or evade defenses. adversaries can collect or forward email from mail servers or clients.",Technique
T1114.001,Local Email Collection,"adversaries may target user email on local systems to collect sensitive information. files containing email data can be acquired from a user’s local system, such as outlook storage or cache files.",Technique
T1114.002,Remote Email Collection,"adversaries may target an exchange server, office 365, or google workspace to collect sensitive information. adversaries may leverage a user's credentials and interact directly with the exchange server to acquire information from within a network. adversaries may also access externally facing exchange services, office 365, or google workspace to access email using credentials or access tokens. tools such as mailsniper can be used to automate searches for specific keywords.",Technique
T1114.003,Email Forwarding Rule,"adversaries may setup email forwarding rules to collect sensitive information. adversaries may abuse email forwarding rules to monitor the activities of a victim, steal information, and further gain intelligence on the victim or the victim’s organization to use as part of further exploits or operations. furthermore, email forwarding rules can allow adversaries to maintain persistent access to victim's emails even after compromised credentials are reset by administrators. most email clients allow users to create inbox rules for various email functions, including forwarding to a different recipient. these rules may be created through a local email application, a web interface, or by command-line interface. messages can be forwarded to internal or external recipients, and there are no restrictions limiting the extent of this rule. administrators may also create forwarding rules for user accounts with the same considerations and outcomes.",Technique
T1573,Encrypted Channel,"adversaries may employ an encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. despite the use of a secure algorithm, these implementations may be vulnerable to reverse engineering if secret keys are encoded and/or generated within malware samples/configuration files.",Technique
T1573.001,Symmetric Cryptography,"adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. common symmetric encryption algorithms include aes, des, 3des, blowfish, and rc4.",Technique
T1573.002,Asymmetric Cryptography,"adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. asymmetric cryptography, also known as public key cryptography, uses a keypair per party: one public that can be freely distributed, and one private. due to how the keys are generated, the sender encrypts data with the receiver’s public key and the receiver decrypts the data with their private key. this ensures that only the intended recipient can read the encrypted data. common public key encryption algorithms include rsa and elgamal.",Technique
T1499,Endpoint Denial of Service,"adversaries may perform endpoint denial of service (dos) attacks to degrade or block the availability of services to users. endpoint dos can be performed by exhausting the system resources those services are hosted on or exploiting the system to cause a persistent crash condition. example services include websites, email services, dns, and web-based applications. adversaries have been observed conducting dos attacks for political purposes and to support other malicious activities, including distraction, hacktivism, and extortion.",Technique
T1499.001,OS Exhaustion Flood,adversaries may launch a denial of service (dos) attack targeting an endpoint's operating system (os). a system's os is responsible for managing the finite resources as well as preventing the entire system from being overwhelmed by excessive demands on its capacity. these attacks do not need to exhaust the actual resources on a system; the attacks may simply exhaust the limits and available resources that an os self-imposes.,Technique
T1499.002,Service Exhaustion Flood,"adversaries may target the different network services provided by systems to conduct a denial of service (dos). adversaries often target the availability of dns and web services, however others have been targeted as well. web server software can be attacked through a variety of means, some of which apply generally while others are specific to the software being used to provide the service.",Technique
T1499.003,Application Exhaustion Flood,"adversaries may target resource intensive features of applications to cause a denial of service (dos), denying availability to those applications. for example, specific features in web applications may be highly resource intensive. repeated requests to those features may be able to exhaust system resources and deny access to the application or the server itself.",Technique
T1499.004,Application or System Exploitation,"adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users. some systems may automatically restart critical applications and services when crashes occur, but they can likely be re-exploited to cause a persistent denial of service (dos) condition.",Technique
T1611,Escape to Host,"adversaries may break out of a container to gain access to the underlying host. this can allow an adversary access to other containerized resources from the host level or to the host itself. in principle, containerized resources should provide a clear separation of application functionality and be isolated from the host environment.",Technique
T1585,Establish Accounts,"adversaries may create and cultivate accounts with services that can be used during targeting. adversaries can create accounts that can be used to build a persona to further operations. persona development consists of the development of public information, presence, history and appropriate affiliations. this development could be applied to social media, website, or other publicly available information that could be referenced and scrutinized for legitimacy over the course of an operation using that persona or identity.",Technique
T1585.001,Social Media Accounts,"adversaries may create and cultivate social media accounts that can be used during targeting. adversaries can create social media accounts that can be used to build a persona to further operations. persona development consists of the development of public information, presence, history and appropriate affiliations.",Technique
T1585.002,Email Accounts,"adversaries may create email accounts that can be used during targeting. adversaries can use accounts created with email providers to further their operations, such as leveraging them to conduct phishing for information or phishing. establishing email accounts may also allow adversaries to abuse free services – such as trial periods – to acquire infrastructure for follow-on purposes.",Technique
T1585.003,Cloud Accounts,"adversaries may create accounts with cloud providers that can be used during targeting. adversaries can use cloud accounts to further their operations, including leveraging cloud storage services such as dropbox, mega, microsoft onedrive, or aws s3 buckets for exfiltration to cloud storage or to upload tools. cloud accounts can also be used in the acquisition of infrastructure, such as virtual private servers or serverless infrastructure. establishing cloud accounts may allow adversaries to develop sophisticated capabilities without managing their own servers.",Technique
T1546,Event Triggered Execution,adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries. cloud environments may also support various functions and services that monitor and can be invoked in response to specific cloud events.,Technique
T1546.001,Change Default File Association,"adversaries may establish persistence by executing malicious content triggered by a file type association. when a file is opened, the default program used to open the file (also called the file association or handler) is checked. file association selections are stored in the windows registry and can be edited by users, administrators, or programs that have registry access or by administrators using the built-in assoc utility. applications can modify the file association for a given file extension to call an arbitrary program when a file with the given extension is opened.",Technique
T1546.002,Screensaver,"adversaries may establish persistence by executing malicious content triggered by user inactivity. screensavers are programs that execute after a configurable time of user inactivity and consist of portable executable (pe) files with a .scr file extension. the windows screensaver application scrnsave.scr is located in c:\windows\system32\, and c:\windows\syswow64\ on 64-bit windows systems, along with screensavers included with base windows installations.",Technique
T1546.003,Windows Management Instrumentation Event Subscription,"adversaries may establish persistence and elevate privileges by executing malicious content triggered by a windows management instrumentation (wmi) event subscription. wmi can be used to install event filters, providers, consumers, and bindings that execute code when a defined event occurs. examples of events that may be subscribed to are the wall clock time, user login, or the computer's uptime.",Technique
T1546.004,Unix Shell Configuration Modification,"adversaries may establish persistence through executing malicious commands triggered by a user’s shell. user unix shells execute several configuration scripts at different points throughout the session based on events. for example, when a user opens a command-line interface or remotely logs in (such as via ssh) a login shell is initiated. the login shell executes scripts from the system (/etc) and the user’s home directory (~/) to configure the environment. all login shells on a system use /etc/profile when initiated. these configuration scripts run at the permission level of their directory and are often used to set environment variables, create aliases, and customize the user’s environment. when the shell exits or terminates, additional shell scripts are executed to ensure the shell exits appropriately.",Technique
T1546.005,Trap,adversaries may establish persistence by executing malicious content triggered by an interrupt signal. the trap command allows programs and shells to specify commands that will be executed upon receiving interrupt signals. a common situation is a script allowing for graceful termination and handling of common keyboard interrupts like ctrl+c and ctrl+d.,Technique
T1546.006,LC_LOAD_DYLIB Addition,adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries. mach-o binaries have a series of headers that are used to perform certain operations when a binary is loaded. the lc_load_dylib header in a mach-o binary tells macos and os x which dynamic libraries (dylibs) to load during execution time. these can be added ad-hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies. there are tools available to perform these changes.,Technique
T1546.007,Netsh Helper DLL,adversaries may establish persistence by executing malicious content triggered by netsh helper dlls. netsh.exe (also referred to as netshell) is a command-line scripting utility used to interact with the network configuration of a system. it contains functionality to add helper dlls for extending functionality of the utility. the paths to registered netsh.exe helper dlls are entered into the windows registry at hklm\software\microsoft\netsh.,Technique
T1546.008,Accessibility Features,adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features. windows contains accessibility features that may be launched with a key combination before a user has logged in (ex: when the user is on the windows logon screen). an adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system.,Technique
T1546.009,AppCert DLLs,"adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by appcert dlls loaded into processes. dynamic-link libraries (dlls) that are specified in the appcertdlls registry key under hkey_local_machine\system\currentcontrolset\control\session manager\ are loaded into every process that calls the ubiquitously used application programming interface (api) functions createprocess, createprocessasuser  , createprocesswithloginw, createprocesswithtokenw, or winexec.",Technique
T1546.010,AppInit DLLs,"adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by appinit dlls loaded into processes. dynamic-link libraries (dlls) that are specified in the appinit_dlls value in the registry keys hkey_local_machine\software\microsoft\windows nt\currentversion\windows or hkey_local_machine\software\wow6432node\microsoft\windows nt\currentversion\windows are loaded by user32.dll into every process that loads user32.dll. in practice this is nearly every program, since user32.dll is a very common library.",Technique
T1546.011,Application Shimming,"adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims. the microsoft windows application compatibility infrastructure/framework (application shim) was created to allow for backward compatibility of software as the operating system codebase changes over time. for example, the application shimming feature allows developers to apply fixes to applications (without rewriting code) that were created for windows xp so that it will work with windows 10.",Technique
T1546.012,Image File Execution Options Injection,"adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by image file execution options (ifeo) debuggers. ifeos enable a developer to attach a debugger to an application. when a process is created, a debugger present in an application’s ifeo will be prepended to the application’s name, effectively launching the new process under the debugger (e.g., c:\dbg\ntsd.exe -g notepad.exe).",Technique
T1546.013,PowerShell Profile,adversaries may gain persistence and elevate privileges by executing malicious content triggered by powershell profiles. a powershell profile (profile.ps1) is a script that runs when powershell starts and can be used as a logon script to customize user environments.,Technique
T1546.014,Emond,"adversaries may gain persistence and elevate privileges by executing malicious content triggered by the event monitor daemon (emond). emond is a launch daemon that accepts events from various services, runs them through a simple rules engine, and takes action. the emond binary at /sbin/emond will load any rules from the /etc/emond.d/rules/ directory and take action once an explicitly defined event takes place.",Technique
T1546.015,Component Object Model Hijacking,adversaries may establish persistence by executing malicious content triggered by hijacked references to component object model (com) objects. com is a system within windows to enable interaction between software components through the operating system. references to various com objects are stored in the registry.,Technique
T1546.016,Installer Packages,"adversaries may establish persistence and elevate privileges by using an installer to trigger the execution of malicious content. installer packages are os specific and contain the resources an operating system needs to install applications on a system. installer packages can include scripts that run prior to installation as well as after installation is complete. installer scripts may inherit elevated permissions when executed. developers often use these scripts to prepare the environment for installation, check requirements, download dependencies, and remove files after installation.",Technique
T1546.017,Udev Rules,"adversaries may maintain persistence through executing malicious content triggered using udev rules. udev is the linux kernel device manager that dynamically manages device nodes, handles access to pseudo-device files in the /dev directory, and responds to hardware events, such as when external devices like hard drives or keyboards are plugged in or removed. udev uses rule files with match keys to specify the conditions a hardware event must meet and action keys to define the actions that should follow. root permissions are required to create, modify, or delete rule files located in /etc/udev/rules.d/, /run/udev/rules.d/, /usr/lib/udev/rules.d/, /usr/local/lib/udev/rules.d/, and /lib/udev/rules.d/. rule priority is determined by both directory and by the digit prefix in the rule filename.",Technique
T1480,Execution Guardrails,"adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign. values an adversary can provide about a target system or environment to use as guardrails may include specific network share names, attached physical devices, files, joined active directory (ad) domains, and local/external ip addresses.",Technique
T1480.001,Environmental Keying,adversaries may environmentally key payloads or other features of malware to evade defenses and constraint execution to a specific target environment. environmental keying uses cryptography to constrain execution or actions based on adversary supplied environment specific conditions that are expected to be present on the target. environmental keying is an implementation of execution guardrails that utilizes cryptographic techniques for deriving encryption/decryption keys from specific types of values in a given computing environment.,Technique
